ACST,Power
2017-01-14 13:37:00+08:00,2774.08983504
2017-01-14 13:47:00+08:00,2759.71631072
2017-01-14 13:57:00+08:00,2774.08983504
2017-01-14 14:07:00+08:00,2752.5295500800003
2017-01-14 14:17:00+08:00,2745.3427894399997
2017-01-14 14:27:00+08:00,2709.4089832
2017-01-14 14:37:00+08:00,2702.2222225600003
2017-01-14 14:47:00+08:00,2680.6619376000003
2017-01-14 14:57:00+08:00,2651.91489504
2017-01-14 15:07:00+08:00,2615.9810888
2017-01-14 15:17:00+08:00,2587.2340432
2017-01-14 15:27:00+08:00,2536.92671264
2017-01-14 15:37:00+08:00,2500.9929064
2017-01-14 15:47:00+08:00,2450.6855788800003
2017-01-14 15:57:00+08:00,2378.8179664
2017-01-14 16:07:00+08:00,2328.51063888
2017-01-14 16:17:00+08:00,2249.45626576
2017-01-14 16:27:00+08:00,2156.02836832
2017-01-14 16:37:00+08:00,2055.41371024
2017-01-14 16:47:00+08:00,1954.7990551999999
2017-01-14 16:57:00+08:00,1861.37115776
2017-01-14 17:07:00+08:00,1753.5697390399998
2017-01-14 17:17:00+08:00,1645.7683203200002
2017-01-14 17:27:00+08:00,1343.92434912
2017-01-14 17:37:00+08:00,833.6643011200001
2017-01-14 17:47:00+08:00,718.67612176
2017-01-14 17:57:00+08:00,344.96453808
2017-01-17 07:07:00+08:00,143.73522496
2017-01-17 07:17:00+08:00,143.73522496
2017-01-17 07:27:00+08:00,143.73522496
2017-01-17 07:37:00+08:00,179.6690312
2017-01-17 07:47:00+08:00,251.53664368
2017-01-17 07:57:00+08:00,344.96453808
2017-01-17 08:07:00+08:00,459.95271744
2017-01-17 08:17:00+08:00,596.50118176
2017-01-17 08:27:00+08:00,725.86288544
2017-01-17 08:37:00+08:00,862.41134672
2017-01-17 08:47:00+08:00,1006.1465716800001
2017-01-17 08:57:00+08:00,1142.695036
2017-01-17 09:07:00+08:00,1279.24350032
2017-01-17 09:17:00+08:00,1422.97872224
2017-01-17 09:27:00+08:00,1552.3404259199997
2017-01-17 09:37:00+08:00,1667.3286052800001
2017-01-17 09:47:00+08:00,1767.9432633600002
2017-01-17 09:57:00+08:00,1882.9314427199997
2017-01-17 10:07:00+08:00,1976.35933712
2017-01-17 10:17:00+08:00,2069.7872345600003
2017-01-17 10:27:00+08:00,2163.21512896
2017-01-17 10:37:00+08:00,2242.26950208
2017-01-17 10:47:00+08:00,2328.51063888
2017-01-17 10:57:00+08:00,2400.37825136
2017-01-17 11:07:00+08:00,2465.05910016
2017-01-17 11:17:00+08:00,2536.92671264
2017-01-17 11:27:00+08:00,2608.79432512
2017-01-17 11:37:00+08:00,2637.54137072
2017-01-17 11:47:00+08:00,2687.84870128
2017-01-17 11:57:00+08:00,2716.59574384
2017-01-17 12:07:00+08:00,2774.08983504
2017-01-17 12:17:00+08:00,2795.65011696
2017-01-17 12:27:00+08:00,2853.1442081600003
2017-01-17 12:37:00+08:00,2853.1442081600003
2017-01-17 12:47:00+08:00,2860.3309688
2017-01-17 12:57:00+08:00,2881.89125376
2017-01-17 13:07:00+08:00,2867.51772944
2017-01-17 13:17:00+08:00,2867.51772944
2017-01-17 13:27:00+08:00,2867.51772944
2017-01-17 13:37:00+08:00,2896.2647750399997
2017-01-17 13:47:00+08:00,2874.70449312
2017-01-17 13:57:00+08:00,2889.0780144
2017-01-17 14:07:00+08:00,2853.1442081600003
2017-01-17 14:17:00+08:00,2853.1442081600003
2017-01-17 14:27:00+08:00,2802.83688064
2017-01-17 14:37:00+08:00,2795.65011696
2017-01-17 14:47:00+08:00,2752.5295500800003
2017-01-17 14:57:00+08:00,2709.4089832
2017-01-17 15:07:00+08:00,2666.2884163199997
2017-01-17 15:17:00+08:00,2608.79432512
2017-01-17 15:27:00+08:00,2580.04728256
2017-01-17 15:37:00+08:00,2544.11347632
2017-01-17 15:47:00+08:00,2472.24586384
2017-01-17 15:57:00+08:00,2429.12529696
2017-01-17 16:07:00+08:00,2364.4444451199997
2017-01-17 16:17:00+08:00,2285.390072
2017-01-17 16:27:00+08:00,2206.33569888
2017-01-17 16:37:00+08:00,2127.28132272
2017-01-17 16:47:00+08:00,2019.4799039999998
2017-01-17 16:57:00+08:00,1918.86524896
2017-01-17 17:07:00+08:00,1825.43735152
2017-01-17 17:17:00+08:00,1703.26241152
2017-01-17 17:27:00+08:00,1437.35224656
2017-01-17 17:37:00+08:00,869.59810736
2017-01-17 17:47:00+08:00,776.1702129599998
2017-01-17 17:57:00+08:00,0.0
2017-01-18 07:07:00+08:00,107.80141871999999
2017-01-18 07:17:00+08:00,0.0
2017-01-18 07:37:00+08:00,165.29550688
2017-01-18 07:47:00+08:00,229.97635872
2017-01-18 07:57:00+08:00,330.5910168
2017-01-18 08:07:00+08:00,438.39243552000005
2017-01-18 08:17:00+08:00,574.94089984
2017-01-18 08:27:00+08:00,704.3026004799999
2017-01-18 08:37:00+08:00,840.8510648
2017-01-18 08:47:00+08:00,991.7730504000001
2017-01-18 08:57:00+08:00,1128.32151168
2017-01-18 09:07:00+08:00,1257.6832153599998
2017-01-18 09:17:00+08:00,1394.23167968
2017-01-18 09:27:00+08:00,1523.5933803199998
2017-01-18 09:37:00+08:00,1696.07565088
2017-01-18 09:47:00+08:00,1617.02127776
2017-01-18 09:57:00+08:00,1882.9314427199997
2017-01-18 10:07:00+08:00,2033.8534283199997
2017-01-18 10:17:00+08:00,2141.65484704
2017-01-18 10:27:00+08:00,1825.43735152
2017-01-18 10:37:00+08:00,1796.6903059199997
2017-01-18 10:47:00+08:00,1961.98581584
2017-01-18 10:57:00+08:00,2227.8959808
2017-01-18 11:07:00+08:00,1660.14184464
2017-01-18 11:17:00+08:00,1990.7328614399999
2017-01-18 11:27:00+08:00,2278.20330832
2017-01-18 11:37:00+08:00,1811.06383024
2017-01-18 11:47:00+08:00,2026.66666768
2017-01-18 11:57:00+08:00,2738.1560288
2017-01-18 12:07:00+08:00,2551.3002369600003
2017-01-18 12:17:00+08:00,2695.03546192
2017-01-18 12:27:00+08:00,2687.84870128
2017-01-18 12:37:00+08:00,2687.84870128
2017-01-18 12:47:00+08:00,2695.03546192
2017-01-18 12:57:00+08:00,2730.96926816
2017-01-18 13:07:00+08:00,2623.16784944
2017-01-18 13:17:00+08:00,2795.65011696
2017-01-18 13:27:00+08:00,2695.03546192
2017-01-18 13:37:00+08:00,2810.02364128
2017-01-18 13:47:00+08:00,2306.95035392
2017-01-18 13:57:00+08:00,2558.4869976
2017-01-18 14:07:00+08:00,2881.89125376
2017-01-18 14:17:00+08:00,2292.57683264
2017-01-18 14:27:00+08:00,1803.8770696
2017-01-18 14:37:00+08:00,1049.26713856
2017-01-18 14:47:00+08:00,1128.32151168
2017-01-18 14:57:00+08:00,1422.97872224
2017-01-18 15:07:00+08:00,1358.29787344
2017-01-18 15:17:00+08:00,1588.2742321599999
2017-01-18 15:27:00+08:00,3018.43971504
2017-01-18 15:37:00+08:00,2342.88416016
2017-01-18 15:47:00+08:00,2314.13711456
2017-01-18 15:57:00+08:00,1861.37115776
2017-01-18 16:07:00+08:00,1674.51536592
2017-01-18 16:17:00+08:00,1336.73758848
2017-01-18 16:27:00+08:00,783.3569736000001
2017-01-18 16:37:00+08:00,560.56737552
2017-01-18 16:47:00+08:00,402.45862927999997
2017-01-18 16:57:00+08:00,517.4468086400001
2017-01-18 17:07:00+08:00,424.01891119999993
2017-01-18 17:17:00+08:00,380.89834432
2017-01-18 17:27:00+08:00,186.85579184
2017-01-18 17:37:00+08:00,237.16311936
2017-01-18 17:47:00+08:00,503.07328736
2017-01-18 17:57:00+08:00,344.96453808
2017-01-19 07:07:00+08:00,323.40425616
2017-01-19 07:17:00+08:00,359.3380624
2017-01-19 07:27:00+08:00,344.96453808
2017-01-19 07:37:00+08:00,459.95271744
2017-01-19 07:47:00+08:00,503.07328736
2017-01-19 07:57:00+08:00,610.8747030400001
2017-01-19 08:07:00+08:00,553.38061488
2017-01-19 08:17:00+08:00,718.67612176
2017-01-19 08:27:00+08:00,610.8747030400001
2017-01-19 08:37:00+08:00,589.31442112
2017-01-19 08:47:00+08:00,618.06146672
2017-01-19 08:57:00+08:00,905.5319136
2017-01-19 09:07:00+08:00,898.3451529599998
2017-01-19 09:17:00+08:00,1250.49645472
2017-01-19 09:27:00+08:00,1875.7446820799998
2017-01-19 09:37:00+08:00,1811.06383024
2017-01-19 09:47:00+08:00,1602.64775344
2017-01-19 09:57:00+08:00,1279.24350032
2017-01-19 10:07:00+08:00,1976.35933712
2017-01-19 10:17:00+08:00,1990.7328614399999
2017-01-19 10:27:00+08:00,2170.40189264
2017-01-19 10:37:00+08:00,2314.13711456
