ACST,Power,Temperature,Relative Humidity,Cloud Cover,Shortwave Radiation,Wind Speed,Wind Direction,ghi
2017-10-20 16:37:00+08:00,1775.130024,29.999534999999998,20,0.0,604.31,13.863041,92.2026,507.4629471685063
2017-10-20 16:47:00+08:00,1631.3947990400002,29.999534999999998,20,0.0,604.31,13.863041,92.2026,507.4629471685063
2017-10-20 16:57:00+08:00,1437.35224656,29.999534999999998,20,0.0,604.31,13.863041,92.2026,507.4629471685063
2017-10-20 17:07:00+08:00,1300.8037822400001,29.609534999999997,20,0.0,408.50998,13.651537,95.599335,273.97484112365885
2017-10-20 17:17:00+08:00,1149.8817966400002,29.609534999999997,20,0.0,408.50998,13.651537,95.599335,273.97484112365885
2017-10-20 17:27:00+08:00,948.65248352,29.609534999999997,20,0.0,408.50998,13.651537,95.599335,273.97484112365885
2017-10-20 17:37:00+08:00,761.7966916799999,29.609534999999997,20,0.0,408.50998,13.651537,95.599335,273.97484112365885
2017-10-20 17:47:00+08:00,438.39243552000005,29.609534999999997,20,0.0,408.50998,13.651537,95.599335,273.97484112365885
2017-10-20 17:57:00+08:00,316.21749552,29.609534999999997,20,0.0,408.50998,13.651537,95.599335,273.97484112365885
2017-10-21 07:07:00+08:00,273.0969256,18.989534,31,56.0,188.68,17.101551,85.53283,267.4341752060365
2017-10-21 07:17:00+08:00,337.77777744,18.989534,31,56.0,188.68,17.101551,85.53283,267.4341752060365
2017-10-21 07:27:00+08:00,251.53664368,18.989534,31,56.0,188.68,17.101551,85.53283,267.4341752060365
2017-10-21 07:37:00+08:00,309.03073184,18.989534,31,56.0,188.68,17.101551,85.53283,267.4341752060365
2017-10-21 07:47:00+08:00,380.89834432,18.989534,31,56.0,188.68,17.101551,85.53283,267.4341752060365
2017-10-21 07:57:00+08:00,582.12766048,18.989534,31,56.0,188.68,17.101551,85.53283,267.4341752060365
2017-10-21 08:07:00+08:00,668.36879424,21.229534,31,46.0,402.28,19.7082,80.665,501.87225688111914
